Model, Processor, RAM, ROM, Display, Price
Dell G3 Core i7 9th Gen - (8 GB/1 TB HDD/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1...,Intel Core i7 Processor (9th Gen),8 GB DDR4 RAM,1 TB HDD|512 GB SSD,39.62 cm (15.6 inch) Display,Rs.84990
HP 15s Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15s-du2071TU Thin and Light Laptop,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,1 TB HDD,39.62 cm (15.6 inch) Display,Rs.37990
HP 14s Core i3 10th Gen - (4 GB/256 GB SSD/Windows 10 Home) 14s-cf3047TU Thin and Light Laptop,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,256 GB SSD,35.56 cm (14 inch) Display,Rs.34490
Asus VivoBook 15 Ryzen 5 Quad Core - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) X512DA-EJ1298TS Thin a...,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) Display,Rs.47990
Asus X512FA Core i3 10th Gen - (4 GB/512 GB SSD/Windows 10 Home) X512FA-EJ372T Laptop,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,Rs.38990
Acer One 14 Pentium Dual Core - (4 GB/1 TB HDD/Windows 10 Home) Z2-485 Thin and Light Laptop,Intel Pentium Dual Core Processor,4 GB DDR4 RAM,1 TB HDD,35.56 cm (14 inch) Display,Rs.23990
HP 15s Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 15s-du2078TU Thin and Light Laptop,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,Rs.52990
HP Pavilion Gaming Ryzen 5 Quad Core - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX...,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,1 TB HDD,39.62 cm (15.6 inch) Display,Rs.54990
Asus Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) X509JB-EJ592T Laptop,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,Rs.51990
HP 14s Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14s-cs3010TU Laptop,#N/A,Intel Core i5 Processor (10th Gen),64 bit Windows 10 Operating System,512 GB SSD,Rs.52990
Asus Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) X509JB-EJ591T Laptop,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,Rs.51990
Lenovo Ideapad S340 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 81VV ideapad S340 -1...,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Display,Rs.56990
Acer Swift 3 Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) SF314-55G Thin and Ligh...,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,512 GB SSD,35.56 cm (14 inch) Display,Rs.52990
Asus ROG Strix G Core i5 9th Gen - (8 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 165...,Intel Core i5 Processor (9th Gen),8 GB DDR4 RAM,1 TB SSD,39.62 cm (15.6 inch) Display,Rs.71990
Lenovo Thinkpad Core i3 10th Gen - (4 GB/1 TB HDD/Windows 10) E14 Laptop,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,1 TB HDD,35.56 cm (14 inch) Display,Rs.38990
HP Pavilion Core i5 9th Gen - (8 GB/1 TB HDD/Windows 10 Home/3 GB Graphics/NVIDIA Geforce GTX 1050) 15...,Intel Core i5 Processor (9th Gen),8 GB DDR4 RAM,1 TB HDD,39.62 cm (15.6 inch) Display,Rs.54990
HP Pavilion Gaming Ryzen 5 Quad Core - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce G...,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,Rs.59999
Asus VivoBook S Series Core i5 8th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) S430FA-EB039T Thin...,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Display,Rs.52990
Lenovo Ideapad S540 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/2 GB Graphics) S540-1...,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) Display,Rs.65990
Avita Liber Core i5 8th Gen - (8 GB/256 GB SSD/Windows 10 Home) NS13A2IN206P Thin and Light Laptop,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,256 GB SSD,33.78 cm (13.3 inch) Display,Rs.39990
HP Pavilion x360 14 Core i3 10th Gen - (4 GB/256 GB SSD/Windows 10 Home) 14-dh1007TU 2 in 1 Laptop,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,256 GB SSD,35.56 cm (14 inch) Touchscreen Display,Rs.50990
Asus ROG Strix G Core i7 9th Gen - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX ...,120 Hz Refresh Rate- It can display upto 120 frames per second.,Intel Core i7 Processor (9th Gen),64 bit Windows 10 Operating System,512 GB SSD,Rs.82990
Asus VivoBook S Series Core i5 8th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) S430FA-EB031T Thin...,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Display,Rs.49990
Asus VivoBook Gaming Core i5 9th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA ...,Intel Core i5 Processor (9th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) Display,Rs.64990
